Date,Open,High,Low,Close,Adj Close,Volume
2022-10-11,83.059998,84.190002,82.070000,83.180000,83.180000,275500
2022-10-12,82.440002,83.769997,82.300003,83.510002,83.510002,148200
2022-10-13,81.599998,83.599998,81.500000,82.349998,82.349998,211100
2022-10-14,83.400002,83.400002,81.300003,81.690002,81.690002,199300
2022-10-17,82.290001,82.739998,80.849998,80.930000,80.930000,251800
2022-10-18,80.839996,81.330002,79.650002,81.150002,81.150002,297400
2022-10-19,80.010002,80.199997,79.029999,79.250000,79.250000,639700
2022-10-20,78.559998,78.930000,77.209999,77.349998,77.349998,263700
2022-10-21,75.099998,76.029999,74.330002,75.150002,75.150002,452200
2022-10-24,74.620003,75.470001,73.680000,74.239998,74.239998,301900
2022-10-25,76.620003,77.400002,76.529999,77.309998,77.309998,195400
2022-10-26,78.099998,79.099998,78.080002,78.849998,78.849998,572700
2022-10-27,79.419998,80.400002,78.620003,79.930000,79.930000,163500
2022-10-28,79.349998,80.099998,78.889999,79.260002,79.260002,156700
2022-10-31,78.739998,79.180000,77.360001,78.209999,78.209999,183400
2022-11-01,80.110001,80.279999,79.059998,79.629997,79.629997,219100
2022-11-02,79.860001,80.680000,78.849998,79.480003,79.480003,560100
2022-11-03,78.290001,79.419998,78.150002,78.809998,78.809998,197700
2022-11-04,78.000000,78.400002,76.760002,76.940002,76.940002,760500
2022-11-07,77.510002,77.519997,75.720001,75.760002,75.760002,122600
2022-11-08,76.239998,77.500000,76.169998,76.680000,76.680000,184400
2022-11-09,76.000000,77.540001,76.000000,77.059998,77.059998,145100
2022-11-10,79.080002,80.980003,78.970001,80.709999,80.709999,495800
2022-11-11,80.070000,80.989998,80.019997,80.629997,80.629997,212000
2022-11-14,80.470001,80.720001,79.580002,80.220001,80.220001,185700
2022-11-15,80.800003,82.089996,80.750000,81.970001,81.970001,302800
2022-11-16,82.910004,84.500000,82.599998,84.459999,84.459999,367100
2022-11-17,83.339996,83.699997,82.800003,83.570000,83.570000,315000
2022-11-18,83.809998,84.080002,82.599998,82.830002,82.830002,465100
2022-11-21,84.089996,84.089996,83.000000,83.209999,83.209999,204200
2022-11-22,83.940002,85.190002,83.839996,84.879997,84.879997,202000
2022-11-23,85.860001,87.160004,85.750000,87.010002,87.010002,336000
2022-11-25,86.449997,86.690002,86.129997,86.680000,86.680000,439700
2022-11-28,87.489998,87.790001,86.519997,87.139999,87.139999,181100
2022-11-29,86.000000,86.800003,85.610001,85.779999,85.779999,185300
2022-11-30,85.330002,86.400002,85.050003,86.089996,86.089996,234200
2022-12-01,87.449997,90.309998,87.000000,90.160004,90.160004,377800
2022-12-02,89.830002,91.980003,89.080002,91.860001,91.860001,555000
